population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
20.0,0.486,0.4,0.6248234173234173,0.4823070679320679,0.3715184521734429
20.0,0.486,0.5,0.6737999037999038,0.5593545574795574,0.4208284359291706
20.0,0.486,0.6,0.7810941257816257,0.6615641534391534,0.4322923310111002
20.0,0.486,0.8,0.7825934944684945,0.6192972883597883,0.4554503230589382
20.0,0.486,1.0,0.7975429894179894,0.7157199050949051,0.5025744201830769
20.0,0.561,0.001,0.0,0.0,0.0
20.0,0.561,0.005,0.0,0.0,0.0
20.0,0.561,0.01,0.0,0.0,0.0
20.0,0.561,0.0125,0.0,0.0,0.0
20.0,0.561,0.015,0.0,0.0,0.0
20.0,0.561,0.02,0.0,0.0,0.0
20.0,0.561,0.03,0.0,0.0,0.0
20.0,0.561,0.04,0.0,0.0,0.0
20.0,0.561,0.05,0.0,0.0,0.0
20.0,0.561,0.1,0.022800925925925926,0.022983682983682984,0.020198412698412695
20.0,0.561,0.15,0.07607969576719577,0.09051838208088207,0.0660902380746768
20.0,0.561,0.2,0.10814303751803753,0.0995127442002442,0.07606990677508368
20.0,0.561,0.25,0.3488329725829725,0.3092003135753136,0.22864602016416802
20.0,0.561,0.3,0.4877227633477633,0.39914146039146037,0.31128456718661857
20.0,0.561,0.4,0.5897514869389869,0.48952479233729235,0.366412967822557
20.0,0.561,0.5,0.6647551175676176,0.54359142015392,0.42744337206774174
20.0,0.561,0.6,0.7626866883116883,0.6485837542087542,0.4449771169514219
20.0,0.561,0.8,0.7729169672919672,0.6264574314574315,0.4762910553497397
20.0,0.561,1.0,0.8130143178580678,0.6364103026603026,0.5184804411378793
20.0,0.603,0.001,0.0,0.0,0.0
20.0,0.603,0.005,0.0,0.0,0.0
20.0,0.603,0.01,0.0,0.0,0.0
20.0,0.603,0.0125,0.0,0.0,0.0
20.0,0.603,0.015,0.0,0.0,0.0
20.0,0.603,0.02,0.0,0.0,0.0
20.0,0.603,0.03,0.0,0.0,0.0
20.0,0.603,0.04,0.0,0.0,0.0
20.0,0.603,0.05,0.0,0.0,0.0
20.0,0.603,0.1,0.03832912457912458,0.02938762626262626,0.025334112292277618
20.0,0.603,0.15,0.09612208393458392,0.08817715848965849,0.06595912814959304
20.0,0.603,0.2,0.29996978715728717,0.21958839091192034,0.16620404410534217
20.0,0.603,0.25,0.27316227753727756,0.22320326085951087,0.1763794041125857
20.0,0.603,0.3,0.4037764665889666,0.3149200567950568,0.23990011324032126
20.0,0.603,0.4,0.5415686628186628,0.4676550301550302,0.33875431242291737
20.0,0.603,0.5,0.6211910543160543,0.48560290404040407,0.374060204259005
20.0,0.603,0.6,0.6023731361231361,0.495975795038295,0.3770813781262662
20.0,0.603,0.8,0.7340147005772005,0.6473103054353054,0.46036236241829914
20.0,0.603,1.0,0.7986722883597883,0.6862796115921116,0.4963977053016448
20.0,0.661,0.001,0.0,0.0,0.0
20.0,0.661,0.005,0.0,0.0,0.0
20.0,0.661,0.01,0.0,0.0,0.0
20.0,0.661,0.0125,0.0,0.0,0.0
20.0,0.661,0.015,0.0,0.0,0.0
20.0,0.661,0.02,0.0,0.0,0.0
20.0,0.661,0.03,0.0,0.0,0.0
20.0,0.661,0.04,0.0,0.0,0.0
20.0,0.661,0.05,0.0,0.0,0.0
20.0,0.661,0.1,0.06476011257261258,0.06801452020202019,0.05533074410831764
20.0,0.661,0.15,0.11693903318903318,0.09489153207903207,0.07669706896854196
20.0,0.661,0.2,0.17385379088504088,0.16267596578258342,0.12706853423234019
20.0,0.661,0.25,0.3304823301698302,0.29277171902171906,0.2246706137126222
20.0,0.661,0.3,0.27038412975912973,0.2511434398934399,0.18323681775819933
20.0,0.661,0.4,0.5237766631516632,0.44444722522847524,0.3274246173696695
20.0,0.661,0.5,0.6428007756132755,0.5493265415140416,0.40039948824002086
20.0,0.661,0.6,0.6585156625781626,0.5754883658008658,0.4107214636242792
20.0,0.661,0.8,0.7659158434158434,0.6693097643097643,0.46578323237603164
20.0,0.661,1.0,0.8311728896103896,0.7105681818181818,0.5289227105370018
20.0,0.676,0.001,0.0,0.0,0.0
20.0,0.676,0.005,0.0,0.0,0.0
20.0,0.676,0.01,0.0,0.0,0.0
20.0,0.676,0.0125,0.0,0.0,0.0
20.0,0.676,0.015,0.0,0.0,0.0
20.0,0.676,0.02,0.0,0.0,0.0
20.0,0.676,0.03,0.0,0.0,0.0
20.0,0.676,0.04,0.0,0.0,0.0
20.0,0.676,0.05,0.0,0.0,0.0
20.0,0.676,0.1,0.05676421957671958,0.04913854663854664,0.040362380734686766
20.0,0.676,0.15,0.16111411736411735,0.14473861786361786,0.1070290124049923
20.0,0.676,0.2,0.1907638888888889,0.17092697811447813,0.13145177947897269
20.0,0.676,0.25,0.3318673109298109,0.2815312523125023,0.21122296989299866
20.0,0.676,0.3,0.42549218278997686,0.3625416019166019,0.2725590231562261
20.0,0.676,0.4,0.4245754823879824,0.3630518093018093,0.2745108871818613
20.0,0.676,0.5,0.5710511363636364,0.5026759100104689,0.3577542131196926
20.0,0.676,0.6,0.750848840361708,0.629841630104788,0.45995554220604573
20.0,0.676,0.8,0.727153934028934,0.6007199744699745,0.45177911796753706
20.0,0.676,1.0,0.8099724927849928,0.6796239177489177,0.5006849242367607
