population,access_rate,beta,pfprunder5,pfpr2to10,pfprall
20.0,0.486,0.01,0.0,0.0,0.0
20.0,0.486,0.0125,0.0,0.0,0.0
20.0,0.486,0.015,0.0,0.0,0.0
20.0,0.486,0.02,0.0,0.0,0.0
20.0,0.486,0.03,0.0,0.0,0.0
20.0,0.486,0.04,0.0,0.0,0.0
20.0,0.486,0.05,0.0,0.0,0.0
20.0,0.486,0.1,0.0,0.0,0.0
20.0,0.486,0.15,0.0,0.0,0.0
20.0,0.486,0.2,0.0,0.0,0.0
20.0,0.486,0.25,0.0,0.0,0.0
20.0,0.486,0.3,0.0375,0.03208333333333334,0.025757575757575764
20.0,0.486,0.4,0.0,0.0,0.0
20.0,0.486,0.5,0.0,0.0,0.0
20.0,0.486,0.6,0.041666666666666664,0.026041666666666668,0.02760416666666667
20.0,0.486,0.8,0.08333333333333334,0.07083333333333333,0.061309523809523814
20.0,0.486,1.0,0.09583333333333333,0.10029761904761905,0.12233134920634921
20.0,0.561,0.001,0.0,0.0,0.0
20.0,0.561,0.005,0.0,0.0,0.0
20.0,0.561,0.01,0.0,0.0,0.0
20.0,0.561,0.0125,0.0,0.0,0.0
20.0,0.561,0.015,0.0,0.0,0.0
20.0,0.561,0.02,0.0,0.0,0.0
20.0,0.561,0.03,0.0,0.0,0.0
20.0,0.561,0.04,0.0,0.0,0.0
20.0,0.561,0.05,0.0,0.0,0.0
20.0,0.561,0.1,0.0,0.0,0.0
20.0,0.561,0.15,0.0,0.0,0.0
20.0,0.561,0.2,0.0,0.0,0.0
20.0,0.561,0.25,0.008333333333333335,0.00625,0.0041666666666666675
20.0,0.561,0.3,0.034722222222222224,0.027500000000000004,0.017916666666666668
20.0,0.561,0.4,0.05840277777777778,0.04589781746031746,0.04391025641025641
20.0,0.561,0.5,0.06392361111111111,0.049722222222222216,0.05133748196248196
20.0,0.561,0.6,0.12777777777777777,0.10541666666666667,0.0857142857142857
20.0,0.561,0.8,0.125,0.08402777777777778,0.0867063492063492
20.0,0.561,1.0,0.14791666666666667,0.12708333333333333,0.10254464285714285
20.0,0.603,0.001,0.0,0.0,0.0
20.0,0.603,0.005,0.0,0.0,0.0
20.0,0.603,0.01,0.0,0.0,0.0
20.0,0.603,0.0125,0.0,0.0,0.0
20.0,0.603,0.015,0.0,0.0,0.0
20.0,0.603,0.02,0.0,0.0,0.0
20.0,0.603,0.03,0.0,0.0,0.0
20.0,0.603,0.04,0.0,0.0,0.0
20.0,0.603,0.05,0.0,0.0,0.0
20.0,0.603,0.1,0.0,0.0,0.0
20.0,0.603,0.15,0.0,0.0,0.0
20.0,0.603,0.2,0.0,0.0,0.0
20.0,0.603,0.25,0.0,0.0,0.0
20.0,0.603,0.3,0.0,0.0,0.0
20.0,0.603,0.4,0.02291666666666667,0.02708333333333333,0.014398148148148146
20.0,0.603,0.5,0.05277777777777777,0.042499999999999996,0.035822510822510825
20.0,0.603,0.6,0.07041666666666666,0.07569444444444444,0.05854166666666667
20.0,0.603,0.8,0.1777083333333333,0.11180555555555553,0.1236205808080808
20.0,0.603,1.0,0.21756944444444443,0.20555555555555555,0.15271088864838864
20.0,0.661,0.001,0.0,0.0,0.0
20.0,0.661,0.005,0.0,0.0,0.0
20.0,0.661,0.01,0.0,0.0,0.0
20.0,0.661,0.0125,0.0,0.0,0.0
20.0,0.661,0.015,0.0,0.0,0.0
20.0,0.661,0.02,0.0,0.0,0.0
20.0,0.661,0.03,0.0,0.0,0.0
20.0,0.661,0.04,0.0,0.0,0.0
20.0,0.661,0.05,0.0,0.0,0.0
20.0,0.661,0.1,0.0,0.0,0.0
20.0,0.661,0.15,0.0,0.0,0.0
20.0,0.661,0.2,0.0,0.0,0.0
20.0,0.661,0.25,0.0,0.0,0.0
20.0,0.661,0.3,0.0,0.0,0.0
20.0,0.661,0.4,0.0,0.0,0.0
20.0,0.661,0.5,0.03194444444444444,0.027083333333333327,0.026335470085470086
20.0,0.661,0.6,0.0,0.0,0.0
20.0,0.661,0.8,0.07083333333333333,0.07083333333333333,0.05095238095238095
20.0,0.661,1.0,0.12847222222222224,0.08993055555555554,0.07708333333333332
20.0,0.676,0.001,0.0,0.0,0.0
20.0,0.676,0.005,0.0,0.0,0.0
20.0,0.676,0.01,0.0,0.0,0.0
20.0,0.676,0.0125,0.0,0.0,0.0
20.0,0.676,0.015,0.0,0.0,0.0
20.0,0.676,0.02,0.0,0.0,0.0
20.0,0.676,0.03,0.0,0.0,0.0
20.0,0.676,0.04,0.0,0.0,0.0
20.0,0.676,0.05,0.0,0.0,0.0
20.0,0.676,0.1,0.0,0.0,0.0
20.0,0.676,0.15,0.0,0.0,0.0
20.0,0.676,0.2,0.0,0.0,0.0
20.0,0.676,0.25,0.0,0.0,0.0
20.0,0.676,0.3,0.0,0.0,0.0
20.0,0.676,0.4,0.0,0.0,0.0
20.0,0.676,0.5,0.06805555555555556,0.05784722222222223,0.04466991341991342
20.0,0.676,0.6,0.12395833333333335,0.11347222222222222,0.07901515151515151
20.0,0.676,0.8,0.19763888888888886,0.14777777777777776,0.14771036833536835
20.0,0.676,1.0,0.12506944444444446,0.11881944444444445,0.09677398989898991
20.0,0.755,0.001,0.0,0.0,0.0
20.0,0.755,0.005,0.0,0.0,0.0
20.0,0.755,0.01,0.0,0.0,0.0
20.0,0.755,0.0125,0.0,0.0,0.0
20.0,0.755,0.015,0.0,0.0,0.0
20.0,0.755,0.02,0.0,0.0,0.0
20.0,0.755,0.03,0.0,0.0,0.0
20.0,0.755,0.04,0.0,0.0,0.0
20.0,0.755,0.05,0.0,0.0,0.0
20.0,0.755,0.1,0.0,0.0,0.0
20.0,0.755,0.15,0.029960317460317454,0.03144841269841269,0.024409722222222218
20.0,0.755,0.2,0.034375,0.03020833333333333,0.02159090909090909
20.0,0.755,0.25,0.0,0.0,0.0
20.0,0.755,0.3,0.0,0.0,0.0
20.0,0.755,0.4,0.020833333333333332,0.03958333333333334,0.024305555555555552
20.0,0.755,0.5,0.05694444444444444,0.04965277777777777,0.03532407407407408
20.0,0.755,0.6,0.0,0.01666666666666667,0.020833333333333332
20.0,0.755,0.8,0.15833333333333335,0.13958333333333334,0.11827050264550265
