population,access_rate,beta,pfpr2to10
50.0,0.6,0.005,0.0
50.0,0.6,0.01,0.0
50.0,0.6,0.0125,0.0
50.0,0.6,0.015,0.0
50.0,0.6,0.02,0.0
50.0,0.6,0.03,0.0
50.0,0.6,0.04,0.0
50.0,0.6,0.05,0.0
50.0,0.6,0.1,2.42003367003367
50.0,0.6,0.15,23.165425093959666
50.0,0.6,0.2,30.414730854832335
50.0,0.6,0.25,26.167992880776676
50.0,0.6,0.3,34.59222902936353
50.0,0.6,0.4,36.42294721134591
50.0,0.6,0.5,43.222369496879296
50.0,0.6,0.6,47.2251247149123
50.0,0.6,0.8,51.15067674095452
50.0,0.6,1.0,57.24774212110814
50.0,0.65,0.001,0.0
50.0,0.65,0.005,0.0
50.0,0.65,0.01,0.0
50.0,0.65,0.0125,0.0
50.0,0.65,0.015,0.0
50.0,0.65,0.02,0.0
50.0,0.65,0.03,0.0
50.0,0.65,0.04,0.0
50.0,0.65,0.05,0.9505631362356508
50.0,0.65,0.1,5.741927825261158
50.0,0.65,0.15,15.940309690309688
50.0,0.65,0.2,20.97674316424316
50.0,0.65,0.25,27.651509909033916
50.0,0.65,0.3,32.50914020317615
50.0,0.65,0.4,37.435572400850184
50.0,0.65,0.5,36.01367957362109
50.0,0.65,0.6,49.47691159905212
50.0,0.65,0.8,54.89327303225727
50.0,0.65,1.0,56.572396225174
50.0,0.7,0.001,0.0
50.0,0.7,0.005,0.0
50.0,0.7,0.01,0.0
50.0,0.7,0.0125,0.0
50.0,0.7,0.015,0.0
50.0,0.7,0.02,0.0
50.0,0.7,0.03,0.0
50.0,0.7,0.04,0.0
50.0,0.7,0.05,0.0
50.0,0.7,0.1,3.544931149097815
50.0,0.7,0.15,10.06190583804963
50.0,0.7,0.2,19.216949996963756
50.0,0.7,0.25,32.48305693115635
50.0,0.7,0.3,32.69605614507724
50.0,0.7,0.4,41.33876859119807
50.0,0.7,0.5,43.239065214684416
50.0,0.7,0.6,48.35336164380282
50.0,0.7,0.8,54.23703331587318
50.0,0.7,1.0,52.370116366611896
50.0,0.75,0.001,0.0
50.0,0.75,0.005,0.0
50.0,0.75,0.01,0.0
50.0,0.75,0.0125,0.0
50.0,0.75,0.015,0.0
50.0,0.75,0.02,0.0
50.0,0.75,0.03,0.0
50.0,0.75,0.04,0.0
50.0,0.75,0.05,1.7038135917134885
50.0,0.75,0.1,8.687242322648238
50.0,0.75,0.15,21.27760736377867
50.0,0.75,0.2,25.155713552363878
50.0,0.75,0.25,26.99310442516497
50.0,0.75,0.3,34.40732545190448
